0.32, 0, 0, 5, 0.2596763, 0, 5876.767, -918.0538, -2.886256, 0.004950999, 0.07939652, 98.47684, 1.249842, 1.200416, 1.486023
 
0.33, -1, 0, 5, 0.2604902, 2.807908513472855949975, 6239.37, -918.1421, -2.886256, 0.004950999, 0.07939652, 101.4734, 1.249842, 1.200093, 1.487712
 
0.3399999, -1, -0.01, 5, 0.2613055, 2.7127033083319513167917979386, 6615.357, -918.2309, -2.886256, 0.004950999, 0.07939652, 104.4902, 1.249842, 1.199769, 1.4894
 
0.3499999, -1, -0.02, 5, 0.2621323, 2.6215871070228670591217979386, 7004.857, -918.3204, -2.886256, 0.004950999, 0.07939652, 107.5268, 1.249842, 1.199446, 1.491088
 
0.3599999, -1, -0.03, 5, 0.2629507, 2.534214384381045222675, 7408.004, -918.4104, -2.886256, 0.004950999, 0.07939652, 110.5825, 1.249842, 1.199123, 1.492776
 
0.3699999, -1, -0.04, 5, 0.2637804, 2.450270868774417795015, 7824.935, -918.501, -2.886256, 0.004950999, 0.07939652, 113.6567, 1.249842, 1.1988, 1.494465
 
0.3799999, -1, -0.05, 5, 0.2646017, 2.3694700694886354409182020614, 8255.782, -918.5922, -2.886256, 0.004950999, 0.07939652, 116.7491, 1.249842, 1.198476, 1.496153
 
0.3899999, -1, -0.05999999, 5, 0.2654345, 2.291556749341864811625, 8700.685, -918.684, -2.886256, 0.004950999, 0.07939652, 119.8592, 1.249842, 1.198153, 1.497841
 
0.3999999, -1, -0.06999999, 5, 0.2662589, 2.2162956386868644093567979386, 9159.773, -918.7763, -2.886256, 0.004950999, 0.07939652, 122.9867, 1.249842, 1.19783, 1.499529
 
0.4099999, -1, -0.07999999, 5, 0.2669756, 2.143475776179426964275, 9632.754, -918.8691, -2.886256, 0.004950999, 0.07939652, 126.1282, 1.249842, 1.197507, 1.501217
 
0.4199999, -1, -0.08999999, 5, 0.2675745, 2.072950443847693359495, 10119.72, -918.9626, -2.886256, 0.004950999, 0.07939652, 129.2836, 1.249842, 1.197183, 1.502905
 
0.4299999, -1, -0.09999999, 5, 0.2681743, 2.004536461265218410075, 10620.79, -919.0567, -2.886256, 0.004950999, 0.07939652, 132.4525, 1.249842, 1.19686, 1.504594
 
0.4399998, -1, -0.11, 5, 0.2687848, 1.938064538464442314290, 11136.04, -919.1512, -2.886256, 0.004950999, 0.07939652, 135.6346, 1.249842, 1.196537, 1.506282
 
0.4499998, -1, -0.12, 5, 0.2693864, 1.873384484858760735225, 11665.6, -919.2465, -2.886256, 0.004950999, 0.07939652, 138.8297, 1.249842, 1.196214, 1.50797
 
0.4599998, -1, -0.13, 5, 0.2699888, 1.810354791398367274515, 12209.56, -919.3423, -2.886256, 0.004950999, 0.07939652, 142.0376, 1.249842, 1.195891, 1.509658
 
0.4699998, -1, -0.14, 5, 0.2706022, 1.7488469713386611231567979386, 12768.02, -919.4387, -2.886256, 0.004950999, 0.07939652, 145.2581, 1.249842, 1.195567, 1.511347
 
0.4799998, -1, -0.15, 5, 0.2712063, 1.6887472965475545599982020614, 13341.1, -919.5355, -2.886256, 0.004950999, 0.07939652, 148.4909, 1.249842, 1.195244, 1.513035
 
0.4899998, -1, -0.16, 5, 0.2718064, 1.629946379661445648530, 13928.88, -919.633, -2.886256, 0.004950999, 0.07939652, 151.7359, 1.249842, 1.194921, 1.514723
 
0.4999998, -1, -0.17, 5, 0.2724225, 1.5723452511607944815982020614, 14531.48, -919.7311, -2.886256, 0.004950999, 0.07939652, 154.993, 1.249842, 1.194598, 1.516411
 
0.5099998, -1, -0.18, 5, 0.2733258, 1.5158553593703054936767979386, 15150.44, -919.8298, -2.886256, 0.004950999, 0.07939652, 158.2695, 1.249842, 1.194275, 1.518099
 
0.5199998, -1, -0.19, 5, 0.2745277, 1.4603213047812434955, 15785.95, -919.929, -2.886256, 0.004950999, 0.07939652, 161.5653, 1.249842, 1.193951, 1.519788
 
0.5299998, -1, -0.2, 5, 0.2757322, 1.405678844021338467945, 16438.21, -920.0288, -2.886256, 0.004950999, 0.07939652, 164.8803, 1.249842, 1.193628, 1.521476
 
0.5399998, -1, -0.21, 5, 0.2769391, 1.351866338179316365770, 17107.45, -920.1292, -2.886256, 0.004950999, 0.07939652, 168.2145, 1.249842, 1.193305, 1.523164
 
0.5499998, -1, -0.22, 5, 0.2781536, 1.298826489112310794545, 17793.86, -920.2302, -2.886256, 0.004950999, 0.07939652, 171.5678, 1.249842, 1.192982, 1.524852
 
0.5599998, -1, -0.23, 5, 0.2793604, 1.246510680214253298390, 18497.63, -920.3317, -2.886256, 0.004950999, 0.07939652, 174.9401, 1.249842, 1.192658, 1.52654
 
0.5699998, -1, -0.24, 5, 0.2805747, 1.194867690418036039860, 19219, -920.4338, -2.886256, 0.004950999, 0.07939652, 178.3313, 1.249842, 1.192335, 1.528229
 
0.5799997, -1, -0.25, 5, 0.2817916, 1.143854112039669326205, 19958.15, -920.5364, -2.886256, 0.004950999, 0.07939652, 181.7416, 1.249842, 1.192012, 1.529917
 
0.5899997, -1, -0.26, 5, 0.2830109, 1.093428273702523052385, 20715.3, -920.6397, -2.886256, 0.004950999, 0.07939652, 185.1707, 1.249842, 1.191689, 1.531605
 
0.5999997, -1, -0.27, 5, 0.2842378, 1.043552844798366082635, 21490.65, -920.7435, -2.886256, 0.004950999, 0.07939652, 188.6185, 1.249842, 1.191366, 1.533293
 
0.6099997, -1, -0.28, 5, 0.2850498, 0.994193967333686456610, 22281.99, -920.848, -2.886256, 0.004950999, 0.07939652, 192.0747, 1.249842, 1.191042, 1.534981
 
0.6199997, -1, -0.29, 5, 0.2854653, 0.945370740689439639120, 23089.37, -920.9529, -2.886256, 0.004950999, 0.07939652, 195.5391, 1.249842, 1.190719, 1.53667
 
0.6299997, -1, -0.3, 5, 0.2858811, 0.897046702411074288255, 23912.85, -921.0585, -2.886256, 0.004950999, 0.07939652, 199.0115, 1.249842, 1.190396, 1.538358
 
0.6399997, -1, -0.31, 5, 0.2862975, 0.8491851295979351239485, 24752.52, -921.1646, -2.886256, 0.004950999, 0.07939652, 202.492, 1.249842, 1.190073, 1.540046
 
0.6499997, -1, -0.32, 5, 0.2867089, 0.8017534664870290084843202061, 25608.45, -921.2713, -2.886256, 0.004950999, 0.07939652, 205.9805, 1.249842, 1.189749, 1.541734
 
0.6599997, -1, -0.33, 5, 0.2871208, 0.7547201990997820293870, 26480.71, -921.3786, -2.886256, 0.004950999, 0.07939652, 209.4768, 1.249842, 1.189426, 1.543422
 
